City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max_temp,Wind_speed
Coihaique,40,CL,1529582400,80,-45.58,-72.07,2.0,2.1
Kilindoni,44,TZ,1529585735,87,-7.91,39.67,27.83,6.66
Waraseoni,12,IN,1529585735,58,21.76,80.05,35.13,2.01
Antofagasta,75,CL,1529582400,71,-23.65,-70.4,13.0,1.0
Ron Phibun,75,TH,1529582400,94,8.18,99.85,25.0,2.6
Burnie,0,AU,1529585735,100,-41.05,145.91,10.68,3.91
Gisborne,92,NZ,1529585735,91,-38.66,178.02,10.03,7.41
Esperance,75,TT,1529582400,94,10.24,-61.45,24.0,1.86
Aranos,0,NA,1529585736,15,-24.14,19.11,25.53,3.16
Aklavik,40,CA,1529582400,71,68.22,-135.01,11.0,4.1
Ust-Nera,24,RU,1529585736,35,64.57,143.24,15.63,0.96
Angouleme,0,FR,1529584200,54,45.65,0.15,29.0,5.1
Nuevo Laredo,75,US,1529584500,94,27.49,-99.5,24.0,4.6
Mashhad,20,IR,1529582400,24,36.3,59.61,34.0,5.1
Dongkan,80,CN,1529585737,60,34.0,119.83,24.43,5.06
Sun Valley,1,US,1529584500,81,43.7,-114.35,10.0,5.7
Salalah,40,OM,1529581800,79,17.01,54.1,29.0,6.7
Ruteng,68,ID,1529585737,90,-8.61,120.46,23.53,1.11
Strezhevoy,0,RU,1529582400,77,60.73,77.6,19.0,4.0
Yendi,48,GH,1529585737,74,9.45,0.0,28.38,5.91
Merced,1,US,1529581980,76,37.3,-120.48,17.0,2.1
Hithadhoo,20,MV,1529585737,100,-0.6,73.08,28.53,2.51
Tuatapere,8,NZ,1529585738,100,-46.13,167.69,2.18,1.36
Umm Lajj,0,SA,1529585738,44,25.02,37.27,37.63,7.71
Chaoyang,0,CN,1529585738,42,41.58,120.44,22.68,2.26
Krasnoyarskiy,20,RU,1529585738,31,51.97,59.9,23.93,7.31
Jaguarari,92,BR,1529585738,94,-10.26,-40.2,19.73,5.26
Longkou,48,CN,1529585738,82,37.64,120.47,22.93,1.41
Taixing,92,CN,1529585738,47,32.17,120.02,25.63,5.21
Poum,40,MK,1529584200,56,41.28,20.71,22.0,1.5
Kodinsk,24,RU,1529585739,48,58.6,99.18,23.33,2.96
Winneba,90,GH,1529582400,78,5.35,-0.62,27.0,6.2
Presidencia Roque Saenz Pena,80,AR,1529585739,88,-26.79,-60.44,18.78,1.36
Yaan,76,NG,1529585739,83,7.38,8.57,27.53,3.96
Provideniya,56,RU,1529585739,100,64.42,-173.23,3.18,1.76
Grandview,1,US,1529584500,82,38.89,-94.53,19.0,4.6
Inta,56,RU,1529585740,66,66.04,60.13,17.18,2.86
Resistencia,75,AR,1529582400,88,-27.45,-58.99,18.0,2.6
Davila,75,PH,1529582400,94,18.47,120.58,26.0,2.1
Tarakan,64,ID,1529585440,90,3.3,117.63,28.63,2.26
Paitan,75,CN,1529582400,70,23.49,113.78,30.0,3.0
Dauphin,1,CA,1529582400,56,51.15,-100.04,20.0,4.1
Iraucuba,0,BR,1529585741,51,-3.75,-39.78,28.43,4.91
Vaini,100,IN,1529585741,98,15.34,74.49,21.43,3.56
Tuktoyaktuk,48,CA,1529585741,91,69.44,-133.03,1.33,3.66
Kirakira,44,SB,1529585741,100,-10.46,161.92,28.18,6.56
Erie,1,US,1529582160,82,42.13,-80.09,19.0,1.46
Murray Bridge,92,AU,1529585741,100,-35.12,139.28,10.93,1.81
Nikolskoye,75,RU,1529582400,72,59.7,30.79,17.0,5.0
Kosjeric,40,RS,1529584200,83,44.0,19.91,30.0,1.0
Gao,0,ML,1529585742,28,16.28,-0.04,40.18,4.26
Victoria,75,BN,1529582400,100,5.28,115.24,24.0,2.1
Luena,0,AO,1529585742,33,-11.78,19.91,25.53,2.51
Bageshwar,44,IN,1529585743,70,29.85,79.77,19.43,0.66
Khatanga,24,RU,1529585743,60,71.98,102.47,17.03,6.01
Hay River,75,CA,1529582400,87,60.82,-115.79,15.0,3.1
Tessalit,0,ML,1529585743,11,20.2,1.01,41.98,6.91
Mataura,88,NZ,1529585743,100,-46.19,168.86,-0.18,1.36
Sarkand,20,KZ,1529585744,46,45.41,79.91,26.08,2.21
Georgetown,40,GY,1529582400,88,6.8,-58.16,26.0,2.1
Goba,12,ET,1529585744,71,7.01,39.97,19.78,1.91
Port-Gentil,40,GA,1529582400,69,-0.72,8.78,27.0,6.2
Weligama,92,LK,1529585744,100,5.97,80.42,24.88,6.01
Saint-Philippe,1,CA,1529583300,58,45.36,-73.48,14.0,5.1
Am Timan,8,TD,1529585745,92,11.04,20.28,28.63,3.41
Taua,75,SL,1529582400,78,8.79,-12.72,27.0,4.1
Port Hawkesbury,75,CA,1529582400,72,45.62,-61.36,15.0,2.1
Cabo San Lucas,40,MX,1529583360,53,22.89,-109.91,23.0,4.6
Tura,0,IN,1529585745,86,25.52,90.21,30.73,1.46
Rantauprapat,88,ID,1529585745,77,2.1,99.83,25.33,0.91
Christchurch,0,NZ,1529582400,100,-43.53,172.64,-1.0,1.0
Garissa,48,KE,1529585746,48,-0.46,39.64,32.18,6.71
Chimbote,44,PE,1529585746,100,-9.08,-78.59,13.53,2.36
Carnarvon,0,ZA,1529585746,33,-30.97,22.13,16.33,5.66
Kurara,0,IN,1529585746,36,25.98,79.99,39.73,1.96
Turayf,0,SA,1529582400,22,31.68,38.65,32.0,5.1
San Quintin,75,PH,1529582400,94,17.54,120.52,26.0,2.1
Rawson,0,AR,1529585746,38,-43.3,-65.11,5.53,9.51
Puerto Ayora,20,EC,1529582400,78,-0.74,-90.35,22.0,6.2
Tonneins,0,FR,1529584200,69,44.39,0.31,29.0,3.1
Sidi Ali,0,DZ,1529585747,51,36.1,0.42,30.53,2.16
Urengoy,92,RU,1529585747,71,65.96,78.37,17.18,8.56
San Rafael,0,AR,1529585748,75,-34.61,-68.33,-1.33,2.06
Avenal,1,US,1529582160,48,36.0,-120.13,18.0,4.1
Inongo,12,CD,1529585748,48,-1.93,18.29,32.13,1.31
Novoleushkovskaya,20,RU,1529585748,25,45.99,39.99,35.88,1.96
