City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max_temp,Wind_speed
Tulun,56,RU,1529591826,72,54.56,100.58,19.22,0.96
Torbay,75,CA,1529589600,40,47.66,-52.73,21.0,11.8
Kurara,12,IN,1529591826,55,25.98,79.99,33.37,1.41
Ampanihy,0,MG,1529591826,56,-24.69,44.75,21.97,5.26
Goderich,0,CA,1529591826,73,43.74,-81.71,20.97,3.86
Hay River,75,CA,1529589600,82,60.82,-115.79,15.0,5.1
Souillac,0,FR,1529589600,48,45.6,-0.6,29.0,4.1
Fushe-Arrez,32,AL,1529591826,53,42.06,20.02,25.17,1.36
Kapaa,90,US,1529589360,83,22.08,-159.32,25.0,3.26
Mahebourg,75,MU,1529589600,83,-20.41,57.7,24.0,1.5
Aventura,1,US,1529589360,62,25.96,-80.14,32.0,3.6
Garissa,48,KE,1529591827,55,-0.46,39.64,28.82,6.01
Merced,20,US,1529589180,59,37.3,-120.48,17.0,3.1
Mul,32,IN,1529591827,58,20.07,79.68,32.57,2.41
Kamennomostskiy,0,RU,1529591827,25,44.29,40.18,29.72,1.96
Ouricuri,0,BR,1529591828,51,-7.88,-40.08,26.77,6.46
Bethel,90,US,1529589180,93,60.79,-161.76,10.0,2.1
Davila,24,PH,1529591828,96,18.47,120.58,27.97,6.61
Coihaique,75,CL,1529589600,74,-45.58,-72.07,4.0,1.0
Iraucuba,0,BR,1529591828,43,-3.75,-39.78,31.47,4.46
Thompson,20,CA,1529589600,56,55.74,-97.86,21.0,4.1
Charleston,75,US,1529589240,78,38.35,-81.63,26.0,2.1
Dali,32,CN,1529591829,80,25.6,100.24,20.47,0.61
Nizhniy Tagil,92,RU,1529591829,74,57.92,59.97,11.67,4.01
Novoleushkovskaya,80,RU,1529591829,24,45.99,39.99,34.97,2.31
Devils Lake,1,US,1529590500,53,48.11,-98.87,25.0,1.5
Payakumbuh,76,ID,1529591830,91,-0.23,100.63,22.97,0.76
Tuktoyaktuk,90,CA,1529589600,86,69.44,-133.03,4.0,3.6
Angouleme,0,FR,1529589600,51,45.65,0.15,29.0,5.1
Uvalde,1,US,1529590500,74,29.21,-99.79,27.0,4.1
Rio Claro,0,BR,1529586000,60,-22.41,-47.56,20.0,1.5
Kargasok,12,RU,1529591830,64,59.06,80.87,18.87,3.31
Hasaki,75,JP,1529589600,100,35.73,140.83,19.0,0.5
San Rafael,0,AR,1529591831,43,-34.61,-68.33,9.97,3.56
Chifeng,0,CN,1529591831,33,42.27,118.96,21.27,4.31
Mount Isa,0,AU,1529589600,32,-20.73,139.49,13.0,4.1
Temascalcingo,24,MX,1529591832,94,19.92,-100.0,13.47,1.51
Nizhniy Ufaley,88,RU,1529591832,89,55.91,59.99,10.42,5.36
Svetlaya,92,RU,1529591832,100,46.54,138.33,10.27,0.36
Hovd,40,NO,1529589000,66,63.83,10.7,13.0,6.2
Matara,0,PE,1529586000,60,-13.74,-72.9,5.0,1.06
Jamestown,0,AU,1529591823,63,-33.21,138.6,-4.24,1.31
Alamor,75,EC,1529589600,73,-4.02,-80.02,23.0,1.5
Kuala Kedah,75,MY,1529589600,94,6.11,100.29,28.0,1.51
Dakar,75,SN,1529589600,74,14.69,-17.45,26.0,4.1
Deputatskiy,12,RU,1529591833,33,69.3,139.9,15.62,2.51
Cayenne,75,GF,1529591400,74,4.94,-52.33,29.0,1.5
Redmond,90,US,1529590680,87,47.67,-122.12,16.0,4.1
La Palma,12,CO,1529591834,75,5.36,-74.39,24.12,1.21
Verkhnyaya Khava,0,RU,1529589600,24,51.84,39.93,28.0,6.0
Methoni,40,GR,1529589000,54,36.82,21.7,27.0,2.6
Cape Town,75,ZA,1529589600,72,-33.93,18.42,16.0,5.7
Christchurch,0,NZ,1529589600,92,-43.53,172.64,-2.0,0.5
Vanimo,88,PG,1529591834,100,-2.67,141.3,28.87,4.31
Provideniya,76,RU,1529591835,100,64.42,-173.23,3.47,1.76
Itarantim,32,BR,1529591835,94,-15.65,-40.06,22.72,2.26
Dombarovskiy,0,RU,1529591835,28,50.76,59.54,23.97,5.91
Wieliczka,20,PL,1529589600,35,49.98,20.06,31.0,8.2
Morag,92,PL,1529591835,60,53.92,19.93,23.72,6.56
Bogorodskoye,92,RU,1529591835,95,52.37,140.44,10.92,1.41
Bridlington,0,GB,1529589000,41,54.08,-0.19,18.0,4.1
Kodinsk,8,RU,1529591714,51,58.6,99.18,20.27,2.56
Beringovskiy,80,RU,1529591836,100,63.05,179.32,3.97,1.66
Lima,8,PE,1529591836,80,-12.06,-77.04,16.72,0.86
Biltine,56,TD,1529591836,71,14.53,20.93,28.62,2.41
Doctor Arroyo,92,MX,1529591836,98,23.67,-100.18,17.07,1.66
Paitan,90,CN,1529589600,88,23.49,113.78,27.0,1.0
